stat,value,unit,radius
length_implemented,96.07,mile,15
length_unimplemented,2575.9,mile,15
impl_NUMBER_KILLED,15.0,crashes,15
unimpl_NUMBER_KILLED,172.0,crashes,15
total_NUMBER_KILLED,264.0,crashes,15
impl_NUMBER_INJURED,309.0,crashes,15
unimpl_NUMBER_INJURED,4201.0,crashes,15
total_NUMBER_INJURED,6189.0,crashes,15
impl_COUNT_SEVERE_INJ,75.0,crashes,15
unimpl_COUNT_SEVERE_INJ,997.0,crashes,15
total_COUNT_SEVERE_INJ,1406.0,crashes,15
length_implemented,96.07,mile,20
length_unimplemented,2575.9,mile,20
impl_NUMBER_KILLED,16.0,crashes,20
unimpl_NUMBER_KILLED,173.0,crashes,20
total_NUMBER_KILLED,264.0,crashes,20
impl_NUMBER_INJURED,312.0,crashes,20
unimpl_NUMBER_INJURED,4252.0,crashes,20
total_NUMBER_INJURED,6189.0,crashes,20
impl_COUNT_SEVERE_INJ,75.0,crashes,20
unimpl_COUNT_SEVERE_INJ,1013.0,crashes,20
total_COUNT_SEVERE_INJ,1406.0,crashes,20
